"Code","Description"
"ADF","Approved Deposit Fund"
"ARF","APRA Regulated Fund (Fund Type Unknown)"
"CCB","Commonwealth Government Public Company"
"CCC","Commonwealth Government Co-operative"
"CCL","Commonwealth Government Limited Partnership"
"CCN","Commonwealth Government Other Unincorporated Entity"
"CCO","Commonwealth Government Other Incorporated Entity"
"CCP","Commonwealth Government Pooled Development Fund"
"CCR","Commonwealth Government Private Company"
"CCS","Commonwealth Government Strata Title"
"CCT","Commonwealth Government Public Trading Trust"
"CCU","Commonwealth Government Corporate Unit Trust"
"CGA","Commonwealth Government Statutory Authority"
"CGC","Commonwealth Government Company"
"CGE","Commonwealth Government Entity"
"CGP","Commonwealth Government Partnership"
"CGS","Commonwealth Government Super Fund"
"CGT","Commonwealth Government Trust"
"CMT","Cash Management Trust"
"COP","Co-operative"
"CSA","Commonwealth Government APRA Regulated Public Sector Fund"
"CSP","Commonwealth Government APRA Regulated Public Sector Scheme"
"CSS","Commonwealth Government Non-Regulated Super Fund"
"CTC","Commonwealth Government Cash Management Trust"
"CTD","Commonwealth Government Discretionary Services Management Trust"
"CTF","Commonwealth Government Fixed Trust"
"CTH","Commonwealth Government Hybrid Trust"
"CTI","Commonwealth Government Discretionary Investment Trust"
"CTL","Commonwealth Government Listed Public Unit Trust"
"CTQ","Commonwealth Government Unlisted Public Unit Trust"
"CTT","Commonwealth Government Discretionary Trading Trust"
"CTU","Commonwealth Government Fixed Unit Trust"
"CUT","Corporate Unit Trust"
"DES","Deceased Estate"
"DIP","Diplomatic/Consulate Body or High Commissioner"
"DIT","Discretionary Investment Trust"
"DST","Discretionary Services Management Trust"
"DTT","Discretionary Trading Trust"
"FHS","First Home Saver Accounts Trust"
"FPT","Family Partnership"
"FUT","Fixed Unit Trust"
"FXT","Fixed Trust"
"HYT","Hybrid Trust"
"IND","Individual/Sole Trader"
"LCB","Local Government Public Company"
"LCC","Local Government Co-operative"
"LCL","Local Government Limited Partnership"
"LCN","Local Government Other Unincorporated Entity"
"LCO","Local Government Other Incorporated Entity"
"LCP","Local Government Pooled Development Fund"
"LCR","Local Government Private Company"
"LCS","Local Government Strata Title"
"LCT","Local Government Public Trading Trust"
"LCU","Local Government Corporate Unit Trust"
"LGA","Local Government Statutory Authority"
"LGC","Local Government Company"
"LGE","Local Government Entity"
"LGP","Local Government Partnership"
"LGT","Local Government Trust"
"LPT","Limited Partnership"
"LSA","Local Government APRA Regulated Public Sector Fund"
"LSP","Local Government APRA Regulated Public Sector Scheme"
"LSS","Local Government Non-Regulated Super Fund"
"LTC","Local Government Cash Management Trust"
"LTD","Local Government Discretionary Services Management Trust"
"LTF","Local Government Fixed Trust"
"LTH","Local Government Hybrid Trust"
"LTI","Local Government Discretionary Investment Trust"
"LTL","Local Government Listed Public Unit Trust"
"LTQ","Local Government Unlisted Public Unit Trust"
"LTT","Local Government Discretionary Trading Trust"
"LTU","Local Government Fixed Unit Trust"
"NPF","APRA Regulated Non-Public Offer Fund"
"NRF","Non-Regulated Superannuation Fund"
"OIE","Other Incorporated Entity"
"PDF","Pooled Development Fund"
"POF","APRA Regulated Public Offer Fund"
"PQT","Unlisted Public Unit Trust"
"PRV","Australian Private Company"
"PST","Pooled Superannuation Trust"
"PTR","Other Partnership"
"PTT","Public Trading trust"
"PUB","Australian Public Company"
"PUT","Listed Public Unit Trust"
"SAF","Small APRA Regulated Fund"
"SCB","State Government Public Company"
"SCC","State Government Co-operative"
"SCL","State Government Limited Partnership"
"SCN","State Government Other Unincorporated Entity"
"SCO","State Government Other Incorporated Entity"
"SCP","State Government Pooled Development Fund"
"SCR","State Government Private Company"
"SCS","State Government Strata Title"
"SCT","State Government Public Trading Trust"
"SCU","State Government Corporate Unit Trust"
"SGA","State Government Statutory Authority"
"SGC","State Government Company"
"SGE","State Government Entity"
"SGP","State Government Partnership"
"SGT","State Government Trust"
"SMF","ATO Regulated Self-Managed Superannuation Fund"
"SSA","State Government APRA Regulated Public Sector Fund"
"SSP","State Government APRA Regulated Public Sector Scheme"
"SSS","State Government Non-Regulated Super Fund"
"STC","State Government Cash Management Trust"
"STD","State Government Discretionary Services Management Trust"
"STF","State Government Fixed Trust"
"STH","State Government Hybrid Trust"
"STI","State Government Discretionary Investment Trust"
"STL","State Government Listed Public Unit Trust"
"STQ","State Government Unlisted Public Unit Trust"
"STR","Strata-title"
"STT","State Government Discretionary Trading Trust"
"STU","State Government Fixed Unit Trust"
"SUP","Super Fund"
"TCB","Territory Government Public Company"
"TCC","Territory Government Co-operative"
"TCL","Territory Government Limited Partnership"
"TCN","Territory Government Other Unincorporated Entity"
"TCO","Territory Government Other Incorporated Entity"
"TCP","Territory Government Pooled Development Fund"
"TCR","Territory Government Private Company"
"TCS","Territory Government Strata Title"
"TCT","Territory Government Public Trading Trust"
"TCU","Territory Government Corporate Unit Trust"
"TGA","Territory Government Statutory Authority"
"TGE","Territory Government Entity"
"TGP","Territory Government Partnership"
"TGT","Territory Government Trust"
"TRT","Other trust"
"TSA","Territory Government APRA Regulated Public Sector Fund"
"TSP","Territory Government APRA Regulated Public Sector Scheme"
"TSS","Territory Government Non-Regulated Super Fund"
"TTC","Territory Government Cash Management Trust"
"TTD","Territory Government Discretionary Services Management Trust"
"TTF","Territory Government Fixed Trust"
"TTH","Territory Government Hybrid Trust"
"TTI","Territory Government Discretionary Investment Trust"
"TTL","Territory Government Listed Public Unit Trust"
"TTQ","Territory Government Unlisted Public Unit Trust"
"TTT","Territory Government Discretionary Trading Trust"
"TTU","Territory Government Fixed Unit Trust"
"UIE","Other Unincorporated Entity"
